subject,id,seed,notation,sus
1,2,2051833672,sc,40
2,5,2108605786,sc,40
3,6,980809349,sc,50
4,8,1975677673,sc,57.5
5,11,299112953,sc,72.5
6,12,310649036,sc,32.5
7,13,1916526994,sc,77.5
8,16,530806819,sc,92.5
9,17,290926371,sc,62.5
10,18,2117931939,sc,40
11,19,1048922923,sc,12.5
12,20,1736209271,sc,45
13,21,1638842287,sc,60
14,22,1683345284,sc,55
15,23,2055219255,sc,65
16,24,1385493348,sc,37.5
17,25,1976607728,sc,80
18,26,603242395,sc,45
19,28,213904330,sc,72.5
20,29,1524781293,sc,57.5
21,30,2020808474,sc,47.5
22,31,216425274,sc,75
23,32,1460590031,sc,45
24,33,790342637,sc,47.5
25,34,1700181835,sc,72.5
26,35,1162175495,sc,60
27,36,450050402,sc,27.5
28,37,436751504,sc,35
29,39,1449684040,sc,80
30,40,2130912221,sc,67.5
31,43,1876369982,sc,65
32,45,904296725,sc,35
33,53,944159441,sc,30
34,54,32789223,sc,45
35,55,1776216516,sc,5
36,56,1197490048,sc,47.5
37,58,1209479113,sc,32.5
38,59,1444407963,sc,22.5
39,62,532468672,sc,22.5
40,65,140112808,sc,32.5
41,66,1176156196,sc,40
42,67,49407394,sc,30
43,68,1242304743,sc,62.5
44,71,1227483714,sc,45
45,72,1660934437,sc,47.5
46,74,416517917,sc,35
47,76,1925785819,sc,45
48,77,2081927725,sc,47.5
49,79,326882635,sc,75
50,80,235934462,sc,50
51,81,2014659586,sc,57.5
52,82,1778131956,sc,75
53,83,2109237847,sc,45
54,84,1012554506,sc,40
55,85,416935227,sc,47.5
1,2,2051833672,cnl,65
2,5,2108605786,cnl,45
3,6,980809349,cnl,47.5
4,8,1975677673,cnl,80
5,11,299112953,cnl,45
6,12,310649036,cnl,87.5
7,13,1916526994,cnl,35
8,16,530806819,cnl,35
9,17,290926371,cnl,35
10,18,2117931939,cnl,57.5
11,19,1048922923,cnl,62.5
12,20,1736209271,cnl,50
13,21,1638842287,cnl,27.5
14,22,1683345284,cnl,47.5
15,23,2055219255,cnl,45
16,24,1385493348,cnl,62.5
17,25,1976607728,cnl,42.5
18,26,603242395,cnl,50
19,28,213904330,cnl,62.5
20,29,1524781293,cnl,72.5
21,30,2020808474,cnl,70
22,31,216425274,cnl,85
23,32,1460590031,cnl,67.5
24,33,790342637,cnl,75
25,34,1700181835,cnl,72.5
26,35,1162175495,cnl,75
27,36,450050402,cnl,42.5
28,37,436751504,cnl,25
29,39,1449684040,cnl,92.5
30,40,2130912221,cnl,57.5
31,43,1876369982,cnl,30
32,45,904296725,cnl,57.5
33,53,944159441,cnl,62.5
34,54,32789223,cnl,60
35,55,1776216516,cnl,5
36,56,1197490048,cnl,60
37,58,1209479113,cnl,70
38,59,1444407963,cnl,55
39,62,532468672,cnl,80
40,65,140112808,cnl,32.5
41,66,1176156196,cnl,77.5
42,67,49407394,cnl,42.5
43,68,1242304743,cnl,67.5
44,71,1227483714,cnl,62.5
45,72,1660934437,cnl,72.5
46,74,416517917,cnl,12.5
47,76,1925785819,cnl,47.5
48,77,2081927725,cnl,80
49,79,326882635,cnl,90
50,80,235934462,cnl,17.5
51,81,2014659586,cnl,97.5
52,82,1778131956,cnl,45
53,83,2109237847,cnl,57.5
54,84,1012554506,cnl,20
55,85,416935227,cnl,77.5
1,2,2051833672,kv,65
2,5,2108605786,kv,35
3,6,980809349,kv,50
4,8,1975677673,kv,77.5
5,11,299112953,kv,82.5
6,12,310649036,kv,85
7,13,1916526994,kv,77.5
8,16,530806819,kv,57.5
9,17,290926371,kv,25
10,18,2117931939,kv,72.5
11,19,1048922923,kv,57.5
12,20,1736209271,kv,47.5
13,21,1638842287,kv,60
14,22,1683345284,kv,72.5
15,23,2055219255,kv,80
16,24,1385493348,kv,50
17,25,1976607728,kv,60
18,26,603242395,kv,50
19,28,213904330,kv,62.5
20,29,1524781293,kv,55
21,30,2020808474,kv,77.5
22,31,216425274,kv,42.5
23,32,1460590031,kv,70
24,33,790342637,kv,77.5
25,34,1700181835,kv,65
26,35,1162175495,kv,67.5
27,36,450050402,kv,72.5
28,37,436751504,kv,22.5
29,39,1449684040,kv,80
30,40,2130912221,kv,62.5
31,43,1876369982,kv,67.5
32,45,904296725,kv,60
33,53,944159441,kv,72.5
34,54,32789223,kv,57.5
35,55,1776216516,kv,7.5
36,56,1197490048,kv,47.5
37,58,1209479113,kv,60
38,59,1444407963,kv,75
39,62,532468672,kv,27.5
40,65,140112808,kv,67.5
41,66,1176156196,kv,55
42,67,49407394,kv,30
43,68,1242304743,kv,27.5
44,71,1227483714,kv,80
45,72,1660934437,kv,80
46,74,416517917,kv,10
47,76,1925785819,kv,45
48,77,2081927725,kv,42.5
49,79,326882635,kv,80
50,80,235934462,kv,75
51,81,2014659586,kv,77.5
52,82,1778131956,kv,32.5
53,83,2109237847,kv,35
54,84,1012554506,kv,42.5
55,85,416935227,kv,75
